CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
128,,Other,Los Angeles,Bronze,94.0,5372.55,Electronics,2023-08-22 09:39:46.585300,Doctor,76,1
129,69.0,Female,,Bronze,122.0,,Home Goods,2023-10-27 09:39:46.585300,Doctor,95,0
130,35.0,Other,New York,Platinum,22.0,5217.74,Home Goods,2023-04-10 09:39:46.585300,Artist,79,0
131,69.0,Male,,Platinum,16.0,6147.5,Clothing,2023-02-01 09:39:46.585300,Engineer,30,0
132,24.0,Female,Chicago,Bronze,,8237.94,Clothing,2023-05-04 09:39:46.585300,Artist,23,0
133,33.0,,Houston,,101.0,7441.45,Home Goods,2023-11-11 09:39:46.585300,Engineer,60,0
134,66.0,Other,New York,Gold,81.0,3864.92,Clothing,2023-12-21 09:39:46.585300,Doctor,99,0
135,,Male,Phoenix,Silver,77.0,1755.7,Home Goods,2023-04-07 09:39:46.585300,Engineer,5,1
136,38.0,,Phoenix,,130.0,,Electronics,2023-10-28 09:39:46.585300,Teacher,88,0
137,52.0,Female,Philadelphia,,57.0,1241.53,Clothing,2023-05-02 09:39:46.585300,Artist,41,0
138,42.0,Other,Chicago,Silver,144.0,3403.73,Home Goods,2023-09-20 09:39:46.585300,Teacher,80,0
139,,Male,Phoenix,Bronze,195.0,8441.73,Clothing,2023-04-28 09:39:46.585300,,78,1
140,69.0,,New York,Bronze,120.0,1044.83,Home Goods,2023-04-27 09:39:46.585300,Doctor,3,1
141,48.0,Other,Chicago,,177.0,3324.27,Home Goods,2023-11-27 09:39:46.585300,,38,1
142,37.0,Other,,,113.0,8759.54,Clothing,2023-07-17 09:39:46.585300,Engineer,69,0
143,37.0,,,Bronze,24.0,5691.48,Electronics,2023-10-20 09:39:46.585300,Doctor,93,1
144,,Male,Phoenix,Silver,124.0,640.78,Home Goods,2023-07-28 09:39:46.585300,,82,1
145,59.0,Female,Philadelphia,Silver,10.0,,Clothing,2023-11-23 09:39:46.585300,Engineer,91,1
146,51.0,Female,Los Angeles,Gold,24.0,4027.81,Electronics,2023-10-09 09:39:46.585300,Teacher,62,0
147,20.0,Other,Houston,Gold,182.0,6929.18,Electronics,2023-05-15 09:39:46.585300,Teacher,3,0
148,26.0,Male,Los Angeles,Platinum,141.0,8413.82,Clothing,2023-07-17 09:39:46.585300,Engineer,92,1
149,51.0,,,Bronze,45.0,7218.94,Electronics,2023-10-28 09:39:46.585300,Engineer,15,1
150,49.0,Other,Houston,Silver,151.0,2976.6,Electronics,2023-11-12 09:39:46.585300,Engineer,3,0
151,29.0,Female,Phoenix,Platinum,184.0,1850.37,Electronics,2023-04-20 09:39:46.585300,Doctor,77,0
152,43.0,Male,Phoenix,Silver,88.0,7215.71,,2023-05-09 09:39:46.585300,Manager,23,0
153,53.0,Other,Phoenix,Platinum,,8634.54,Clothing,2023-12-09 09:39:46.585300,Engineer,39,1
154,29.0,Female,New York,,82.0,1700.38,Electronics,2023-09-08 09:39:46.585300,Engineer,37,0
155,67.0,Male,Philadelphia,Bronze,23.0,9404.41,Electronics,2023-09-06 09:39:46.585300,Doctor,0,0
156,46.0,Other,Phoenix,,75.0,6298.26,Electronics,2023-04-29 09:39:46.585300,,97,0
157,52.0,Male,Houston,,126.0,2113.95,Clothing,2023-04-07 09:39:46.585300,Manager,35,0
158,18.0,Female,Houston,Gold,102.0,1998.62,Electronics,2023-03-20 09:39:46.585300,Artist,64,1
159,18.0,Female,,Bronze,109.0,6260.94,Home Goods,2023-01-29 09:39:46.585300,Engineer,46,0
160,54.0,,,Silver,11.0,,Home Goods,2023-08-21 09:39:46.585300,Engineer,1,1
161,24.0,Female,New York,Gold,,8012.96,Clothing,2023-11-13 09:39:46.585300,Doctor,46,0
162,55.0,,Phoenix,Gold,-2.0,,Electronics,2023-12-08 09:39:46.585300,,52,1
163,58.0,Female,Philadelphia,Platinum,62.0,3422.96,Home Goods,2023-03-19 09:39:46.585300,Teacher,60,1
164,35.0,Male,Houston,Silver,17.0,4388.3,Electronics,2023-03-13 09:39:46.585300,,32,0
165,34.0,Other,Los Angeles,Gold,61.0,2418.7,Home Goods,2023-10-18 09:39:46.585300,Doctor,39,0
166,23.0,Other,Phoenix,Platinum,112.0,241.92,Clothing,2023-11-17 09:39:46.585300,Artist,77,1
167,59.0,Female,New York,Platinum,103.0,8067.08,Clothing,2023-11-25 09:39:46.585300,,1,0
168,60.0,Female,Houston,Gold,89.0,4031.27,Electronics,2023-11-06 09:39:46.585300,Artist,3,1
169,,Male,Phoenix,Silver,160.0,6473.97,,2023-06-11 09:39:46.585300,Artist,16,1
170,18.0,Other,Philadelphia,Gold,106.0,2836.54,Electronics,2023-08-23 09:39:46.585300,Teacher,53,1
171,19.0,Male,Chicago,Platinum,92.0,7486.28,Electronics,2023-09-12 09:39:46.585300,Artist,91,0
172,57.0,Other,Los Angeles,,106.0,698.78,Electronics,2023-05-14 09:39:46.585300,Doctor,46,0
173,59.0,Other,Houston,Silver,138.0,7103.72,Electronics,2023-01-14 09:39:46.585300,Teacher,3,1
174,53.0,Male,Chicago,Bronze,93.0,8056.75,Home Goods,2023-04-29 09:39:46.585300,Doctor,20,1
175,56.0,Male,Houston,Platinum,54.0,138.08,,2023-04-26 09:39:46.585300,Artist,88,1
176,28.0,Female,Philadelphia,,21.0,2073.61,Electronics,2023-08-23 09:39:46.585300,Doctor,30,0
177,64.0,Other,Los Angeles,Gold,90.0,9229.88,Electronics,2023-11-13 09:39:46.585300,Doctor,97,0
178,37.0,Female,Chicago,Gold,34.0,141.59,Home Goods,2023-09-17 09:39:46.585300,Artist,49,0
179,46.0,Other,Chicago,Silver,7.0,1115.59,Home Goods,2023-04-12 09:39:46.585300,Manager,19,0
180,18.0,Female,Los Angeles,,173.0,466.13,Home Goods,2023-01-11 09:39:46.585300,Manager,6,0
181,32.0,Female,,Silver,,9353.57,Home Goods,2023-10-13 09:39:46.585300,Teacher,99,1
182,53.0,Other,Los Angeles,Silver,99.0,3050.08,Electronics,2023-08-15 09:39:46.585300,Manager,45,0
183,30.0,Female,Philadelphia,,37.0,1912.51,Electronics,2023-11-16 09:39:46.585300,Artist,66,1
184,61.0,Male,Los Angeles,Silver,106.0,5384.78,Clothing,2023-03-14 09:39:46.585300,Teacher,61,0
185,36.0,Male,,Gold,107.0,8458.3,Home Goods,2023-09-24 09:39:46.585300,Doctor,71,1
186,29.0,Female,Philadelphia,Silver,190.0,9592.96,Home Goods,2023-11-27 09:39:46.585300,,33,1
187,22.0,,Houston,Bronze,117.0,1770.61,Home Goods,2023-01-20 09:39:46.585300,Artist,16,1
188,23.0,Other,New York,Platinum,106.0,773.7,Electronics,2023-02-02 09:39:46.585300,Doctor,40,0
189,24.0,Other,Chicago,Silver,194.0,7446.51,Clothing,2023-08-31 09:39:46.585300,Teacher,28,0
190,65.0,Female,Chicago,Bronze,39.0,1506.09,Electronics,2023-05-16 09:39:46.585300,Teacher,64,0
191,23.0,Male,Philadelphia,Gold,173.0,,Home Goods,2023-01-29 09:39:46.585300,Teacher,92,1
192,29.0,,Phoenix,Silver,,4903.67,Home Goods,2023-03-02 09:39:46.585300,Manager,77,1
193,53.0,Male,Chicago,Silver,94.0,2594.25,Clothing,2023-09-14 09:39:46.585300,Artist,37,1
194,58.0,Female,New York,Bronze,58.0,5762.78,Home Goods,2023-02-22 09:39:46.585300,Manager,24,0
195,30.0,Female,New York,Silver,70.0,3760.04,Clothing,2023-03-20 09:39:46.585300,Doctor,44,0
196,33.0,Other,Los Angeles,Bronze,173.0,7720.65,Electronics,2023-01-12 09:39:46.585300,Engineer,14,0
197,38.0,Male,Chicago,Bronze,89.0,1556.56,Home Goods,2023-07-22 09:39:46.585300,Teacher,29,1
198,54.0,,New York,Platinum,119.0,512.88,Home Goods,2023-09-17 09:39:46.585300,Manager,73,1
199,42.0,Male,Los Angeles,Silver,110.0,6424.35,Electronics,2023-05-27 09:39:46.585300,Artist,19,0
200,33.0,Female,Philadelphia,Silver,42.0,4988.93,Clothing,2023-08-20 09:39:46.585300,Artist,93,1
201,30.0,Male,New York,Platinum,119.0,5228.22,Clothing,2023-05-17 09:39:46.585300,Artist,32,0
202,41.0,Female,Chicago,Bronze,6.0,3239.22,Home Goods,2023-12-22 09:39:46.585300,Doctor,74,0
203,65.0,Male,Chicago,Silver,67.0,8021.7,Electronics,2023-11-06 09:39:46.585300,Teacher,69,1
204,66.0,Other,Los Angeles,Bronze,123.0,,Electronics,2023-12-18 09:39:46.585300,Teacher,58,1
205,22.0,,Chicago,Gold,167.0,8632.8,Clothing,2023-06-18 09:39:46.585300,Manager,79,0
206,60.0,Female,Los Angeles,Platinum,135.0,2111.56,Clothing,2023-06-05 09:39:46.585300,Doctor,58,0
207,52.0,Male,Chicago,,20.0,,Clothing,2023-01-24 09:39:46.585300,Engineer,54,0
208,17.0,Female,Phoenix,Bronze,87.0,,Clothing,2023-09-12 09:39:46.585300,Doctor,75,1
209,49.0,Other,Los Angeles,Gold,153.0,5449.1,,2023-08-23 09:39:46.585300,Artist,65,1
210,23.0,Other,Phoenix,Bronze,32.0,9320.99,Home Goods,2023-04-24 09:39:46.585300,Artist,11,0
211,47.0,Female,Philadelphia,Gold,,,Electronics,2023-06-13 09:39:46.585300,,57,0
212,19.0,Male,,Bronze,121.0,1716.94,Electronics,2023-08-19 09:39:46.585300,Teacher,7,1
213,68.0,Female,,Gold,72.0,3792.55,Electronics,2023-04-04 09:39:46.585300,Manager,10,1
214,69.0,Male,,Bronze,28.0,2674.33,Electronics,2023-03-31 09:39:46.585300,Manager,77,1
215,55.0,Male,Chicago,Gold,77.0,5742.67,Home Goods,2023-09-20 09:39:46.585300,Doctor,52,0
216,52.0,Other,Philadelphia,Silver,157.0,8421.01,Clothing,2023-10-11 09:39:46.585300,Manager,25,1
217,64.0,Female,Philadelphia,Gold,172.0,3627.94,,2023-06-12 09:39:46.585300,,15,1
218,49.0,Male,Houston,Platinum,156.0,5216.73,Electronics,2023-10-23 09:39:46.585300,Manager,15,0
219,21.0,Male,,Platinum,192.0,587.68,,2023-07-08 09:39:46.585300,Artist,57,1
220,53.0,Male,Los Angeles,Gold,61.0,338.53,Home Goods,2023-09-17 09:39:46.585300,Manager,78,1
221,61.0,Female,New York,Gold,198.0,3738.85,Electronics,2023-06-02 09:39:46.585300,Doctor,61,0
222,32.0,Female,Los Angeles,Platinum,169.0,7552.23,Electronics,2023-09-20 09:39:46.585300,Engineer,59,1
223,66.0,Male,Philadelphia,,198.0,2224.51,Clothing,2023-02-14 09:39:46.585300,,46,0
224,57.0,Male,,Bronze,,3756.73,Clothing,2023-12-11 09:39:46.585300,Doctor,22,0
225,38.0,Male,Chicago,Platinum,,1545.22,Home Goods,2023-12-06 09:39:46.585300,Teacher,6,1
226,27.0,Other,Chicago,Silver,50.0,824.44,Home Goods,2023-07-05 09:39:46.585300,Artist,81,1
227,17.0,Other,Chicago,Silver,183.0,6433.65,Electronics,2023-07-21 09:39:46.585300,Manager,27,0
228,27.0,Male,New York,Platinum,15.0,,Electronics,2023-09-21 09:39:46.585300,,58,1
229,67.0,Male,,Bronze,140.0,998.83,,2023-06-23 09:39:46.585300,Doctor,63,0
230,61.0,Other,Los Angeles,Gold,45.0,9396.89,Electronics,2023-06-28 09:39:46.585300,Teacher,39,1
231,,,Philadelphia,Bronze,25.0,1905.05,Clothing,2023-01-14 09:39:46.585300,Teacher,27,1
232,23.0,Female,Los Angeles,Gold,81.0,5138.2,Electronics,2023-06-14 09:39:46.585300,Engineer,49,0
233,52.0,Female,,Platinum,86.0,4655.35,Home Goods,2023-02-04 09:39:46.585300,,16,0
234,52.0,Other,New York,Silver,97.0,1503.85,Electronics,2023-07-08 09:39:46.585300,Teacher,14,1
235,49.0,Male,Phoenix,Platinum,5.0,7271.46,Clothing,2023-11-07 09:39:46.585300,Doctor,83,1
236,21.0,,Los Angeles,Silver,79.0,6702.69,,2023-09-28 09:39:46.585300,Teacher,23,1
237,35.0,Male,Philadelphia,Bronze,29.0,9574.77,Home Goods,2023-08-13 09:39:46.585300,Teacher,35,0
238,64.0,Other,,Bronze,111.0,1203.57,Electronics,2023-05-20 09:39:46.585300,,29,1
239,52.0,Male,Los Angeles,Platinum,184.0,6302.43,Electronics,2023-09-25 09:39:46.585300,,45,0
240,38.0,Male,Philadelphia,,38.0,8931.22,Clothing,2023-09-09 09:39:46.585300,Artist,25,0
241,35.0,Male,Phoenix,Bronze,126.0,8261.36,,2023-02-11 09:39:46.585300,Teacher,49,0
242,68.0,Female,Phoenix,Platinum,120.0,8866.78,Clothing,2023-05-02 09:39:46.585300,Doctor,45,1
243,45.0,Female,Los Angeles,Gold,182.0,,Clothing,2023-02-28 09:39:46.585300,Artist,30,0
244,32.0,Other,New York,Bronze,81.0,777.34,Home Goods,2023-12-30 09:39:46.585300,Doctor,8,0
245,59.0,Male,Los Angeles,Gold,62.0,8156.97,,2023-03-28 09:39:46.585300,Doctor,4,0
246,19.0,Male,New York,Bronze,98.0,8642.85,Electronics,2023-08-27 09:39:46.585300,Doctor,71,0
247,54.0,Other,Chicago,Gold,170.0,9995.29,Clothing,2023-01-19 09:39:46.585300,Teacher,11,0
248,27.0,Female,Philadelphia,Platinum,126.0,9799.34,Electronics,2023-09-25 09:39:46.585300,Artist,95,1
249,39.0,Female,,Gold,17.0,1205.27,Clothing,2023-09-22 09:39:46.585300,Teacher,46,1
250,61.0,,Chicago,Bronze,101.0,4347.92,Electronics,2023-02-26 09:39:46.585300,Manager,48,1
251,,,Chicago,Bronze,156.0,3776.43,Home Goods,2023-12-13 09:39:46.585300,Teacher,62,1
252,29.0,Female,Philadelphia,Platinum,91.0,2882.88,Home Goods,2023-07-10 09:39:46.585300,Teacher,38,0
253,21.0,Other,,Platinum,131.0,8223.85,Electronics,2023-09-18 09:39:46.585300,Engineer,28,1
254,,Female,Houston,Silver,,6355.1,Electronics,2023-10-04 09:39:46.585300,Manager,24,0
255,33.0,Male,Houston,Bronze,194.0,9867.39,,2023-03-29 09:39:46.585300,Manager,57,0
256,49.0,Male,Los Angeles,Platinum,7.0,7076.23,,2023-04-07 09:39:46.585300,Manager,92,1
257,,Male,Phoenix,Bronze,,6547.32,Electronics,2023-05-03 09:39:46.585300,Artist,62,1
258,56.0,,Houston,Gold,,8928.56,Home Goods,2023-09-24 09:39:46.585300,Doctor,1,1
259,37.0,Female,Houston,Platinum,2.0,1610.36,Home Goods,2023-06-30 09:39:46.585300,Engineer,33,1
260,65.0,Female,Phoenix,Gold,39.0,8156.88,Electronics,2023-01-15 09:39:46.585300,Doctor,80,1
261,59.0,Other,Houston,Bronze,120.0,2160.85,Home Goods,2023-07-26 09:39:46.585300,Teacher,25,1
262,69.0,,Phoenix,Gold,18.0,2260.84,Home Goods,2023-01-26 09:39:46.585300,Doctor,76,0
263,57.0,Female,,Platinum,,4427.84,Home Goods,2023-01-22 09:39:46.585300,Doctor,59,0
264,30.0,Female,Chicago,,12.0,4097.55,Clothing,2023-06-03 09:39:46.585300,Doctor,76,0
265,47.0,Male,Philadelphia,Silver,181.0,6828.72,Home Goods,2023-05-05 09:39:46.585300,Engineer,21,0
266,43.0,Female,Phoenix,Gold,26.0,,,2023-01-25 09:39:46.585300,Manager,11,1
267,20.0,Female,Chicago,Platinum,67.0,8313.66,Home Goods,2023-12-18 09:39:46.585300,Engineer,4,1
268,20.0,Male,Los Angeles,Gold,,2265.32,Clothing,2023-06-08 09:39:46.585300,Artist,36,0
269,48.0,Other,Phoenix,Platinum,100.0,3195.29,Clothing,2023-09-16 09:39:46.585300,,99,1
270,50.0,Other,Phoenix,Silver,,8165.44,Electronics,2023-02-26 09:39:46.585300,Manager,71,0
271,60.0,Other,New York,Silver,127.0,7671.33,Clothing,2023-01-16 09:39:46.585300,Manager,49,1
272,33.0,Other,Houston,Silver,190.0,4464.23,Electronics,2023-02-03 09:39:46.585300,Doctor,6,1
273,66.0,Other,,Bronze,14.0,5071.19,Electronics,2023-04-07 09:39:46.585300,,21,1
274,59.0,Female,New York,Gold,,2357.43,Home Goods,2023-08-02 09:39:46.585300,Doctor,20,1
275,,Female,Philadelphia,Platinum,,1675.41,Clothing,2023-10-25 09:39:46.585300,Teacher,65,1
276,37.0,Female,New York,Silver,117.0,4014.55,Home Goods,2023-07-31 09:39:46.585300,Artist,50,1
277,50.0,Other,New York,Platinum,165.0,8046.11,Clothing,2023-09-30 09:39:46.585300,Engineer,31,0
278,25.0,Female,Philadelphia,Bronze,,3764.34,Clothing,2023-01-18 09:39:46.585300,Manager,36,0
279,44.0,Other,,,25.0,6835.43,Electronics,2023-04-16 09:39:46.585300,Artist,42,1
280,22.0,Female,New York,Platinum,166.0,4386.21,Home Goods,2023-01-21 09:39:46.585300,Engineer,45,1
281,20.0,Female,Phoenix,Silver,171.0,3060.96,Electronics,2023-09-06 09:39:46.585300,Teacher,10,1
282,61.0,,,Platinum,19.0,4598.15,Home Goods,2023-03-13 09:39:46.585300,Artist,95,0
283,32.0,Female,Houston,Platinum,43.0,7882.65,Electronics,2023-07-22 09:39:46.585300,Teacher,86,1
284,50.0,Other,Philadelphia,Silver,182.0,,Electronics,2023-06-11 09:39:46.585300,Manager,38,0
285,23.0,Male,Chicago,Silver,20.0,8126.32,,2023-11-12 09:39:46.585300,,96,0
286,22.0,Male,Philadelphia,Bronze,10.0,6050.15,,2023-11-12 09:39:46.585300,,49,1
287,63.0,Female,New York,Bronze,157.0,8807.52,Clothing,2023-04-17 09:39:46.585300,Doctor,68,0
288,,Other,New York,Platinum,135.0,1062.46,Home Goods,2023-08-06 09:39:46.585300,Manager,40,0
289,41.0,Male,Chicago,Silver,90.0,4926.61,Home Goods,2023-10-03 09:39:46.585300,Manager,47,1
290,,Female,Philadelphia,Silver,57.0,9486.82,Electronics,2023-07-01 09:39:46.585300,Doctor,93,1
291,62.0,Female,Chicago,Silver,86.0,2242.58,,2023-06-04 09:39:46.585300,Engineer,54,0
292,,Male,Philadelphia,Gold,4.0,5112.75,Home Goods,2023-12-25 09:39:46.585300,Teacher,50,1
293,36.0,Other,Phoenix,Silver,19.0,996.21,Clothing,2023-02-16 09:39:46.585300,Doctor,77,1
294,,Female,Phoenix,Silver,84.0,8129.15,,2023-12-27 09:39:46.585300,Doctor,88,1
295,47.0,Female,Los Angeles,Platinum,44.0,8210.75,Electronics,2023-06-21 09:39:46.585300,Manager,65,1
296,40.0,Female,Phoenix,Platinum,136.0,1499.27,Clothing,2023-08-23 09:39:46.585300,,48,0
297,64.0,Other,Phoenix,Gold,95.0,6266.86,,2023-04-27 09:39:46.585300,Teacher,9,0
298,44.0,Other,Philadelphia,Platinum,134.0,2891.76,Electronics,2023-02-12 09:39:46.585300,Engineer,47,0
299,35.0,Female,Chicago,Gold,114.0,5094.96,Electronics,2023-05-31 09:39:46.585300,Teacher,8,0
300,36.0,Female,Chicago,Silver,105.0,6010.95,Clothing,2023-04-17 09:39:46.585300,Artist,21,1
301,,Other,Houston,Gold,,3108.73,Home Goods,2023-11-14 09:39:46.585300,Manager,30,0
302,59.0,Female,Chicago,Gold,108.0,4238.5,Clothing,2023-12-18 09:39:46.585300,Manager,28,0
303,50.0,Female,Chicago,Gold,103.0,7713.6,Clothing,2023-04-30 09:39:46.585300,Doctor,72,0
304,55.0,Other,Phoenix,Platinum,,4860.82,Electronics,2023-09-21 09:39:46.585300,Artist,37,1
305,24.0,Male,Philadelphia,Bronze,145.0,2011.76,Electronics,2023-10-12 09:39:46.585300,Teacher,62,0
306,39.0,Male,Phoenix,,14.0,3372.52,Electronics,2023-12-16 09:39:46.585300,Teacher,21,1
307,47.0,Female,Chicago,,6.0,2825.11,,2023-07-30 09:39:46.585300,Engineer,68,1
308,,Other,,Bronze,135.0,,Electronics,2023-12-01 09:39:46.585300,Manager,69,1
309,25.0,Female,,Bronze,140.0,7875.47,Clothing,2023-11-16 09:39:46.585300,Artist,84,1
310,43.0,Female,,Bronze,188.0,4185.67,Electronics,2023-06-12 09:39:46.585300,Doctor,99,0
311,34.0,Female,Chicago,Platinum,,,,2023-05-29 09:39:46.585300,Manager,6,1
312,59.0,Male,Los Angeles,Bronze,,8302.31,Electronics,2023-02-23 09:39:46.585300,Doctor,86,1
313,36.0,Male,Houston,Gold,103.0,4007.01,Home Goods,2023-08-15 09:39:46.585300,Manager,12,0
314,58.0,Female,New York,Gold,160.0,3604.0,Home Goods,2023-05-04 09:39:46.585300,,95,1
315,33.0,Other,Philadelphia,Platinum,53.0,5894.89,Home Goods,2023-01-20 09:39:46.585300,Manager,93,1
316,30.0,Male,Phoenix,Platinum,68.0,4883.9,Home Goods,2023-11-22 09:39:46.585300,Teacher,78,1
317,56.0,Other,Chicago,Gold,178.0,1241.7,Clothing,2023-11-29 09:39:46.585300,Manager,90,0
318,64.0,Other,Los Angeles,Gold,43.0,,Clothing,2023-09-30 09:39:46.585300,,51,1
319,46.0,Other,Phoenix,Gold,62.0,9809.85,Home Goods,2023-05-15 09:39:46.585300,Artist,88,1
320,21.0,Female,Chicago,Gold,53.0,467.99,Electronics,2023-11-15 09:39:46.585300,Teacher,93,1
321,48.0,Male,New York,Bronze,198.0,,Clothing,2023-05-22 09:39:46.585300,Manager,60,1
322,63.0,Other,Chicago,Gold,180.0,3965.43,Electronics,2023-09-22 09:39:46.585300,Engineer,89,1
323,,Female,Philadelphia,Gold,131.0,6005.16,Home Goods,2023-10-16 09:39:46.585300,Engineer,77,0
324,42.0,Female,Chicago,Silver,24.0,7080.82,Clothing,2023-03-28 09:39:46.585300,Doctor,3,0
325,21.0,Female,,Bronze,102.0,5998.08,Home Goods,2023-12-30 09:39:46.585300,Doctor,64,1
326,37.0,Other,Houston,Silver,,7759.34,Clothing,2023-07-20 09:39:46.585300,Manager,2,0
327,,Other,Phoenix,Silver,108.0,3584.01,Home Goods,2023-04-12 09:39:46.585300,,55,0
328,21.0,Female,Philadelphia,Bronze,32.0,8950.72,Electronics,2023-05-18 09:39:46.585300,Teacher,40,1
329,58.0,Male,Phoenix,Bronze,105.0,7435.44,,2023-08-24 09:39:46.585300,Artist,85,1
330,30.0,Female,Chicago,Bronze,96.0,8440.34,Clothing,2023-02-13 09:39:46.585300,Teacher,7,1
331,57.0,Other,Los Angeles,Bronze,195.0,9994.48,Home Goods,2023-05-09 09:39:46.585300,Artist,38,1
332,53.0,Male,Houston,Silver,22.0,,Electronics,2023-01-20 09:39:46.585300,Artist,25,0
333,41.0,Male,Chicago,Silver,155.0,9320.44,Electronics,2023-07-14 09:39:46.585300,Artist,70,0
334,23.0,Male,Phoenix,Bronze,92.0,3000.97,Electronics,2023-07-23 09:39:46.585300,Artist,95,0
335,41.0,Female,Chicago,Silver,60.0,7860.79,Electronics,2023-10-08 09:39:46.585300,Engineer,32,0
336,63.0,Male,New York,Platinum,4.0,7565.99,Electronics,2023-11-06 09:39:46.585300,,45,0
337,48.0,Male,Philadelphia,Gold,118.0,8596.76,Clothing,2023-02-09 09:39:46.585300,Teacher,13,0
338,29.0,,Houston,Platinum,42.0,7572.64,Clothing,2023-08-10 09:39:46.585300,,85,0
339,59.0,,Chicago,Bronze,51.0,9812.46,Clothing,2023-03-13 09:39:46.585300,Artist,95,1
340,39.0,Male,Los Angeles,Platinum,94.0,4036.24,Home Goods,2023-02-23 09:39:46.585300,Manager,61,1
341,29.0,Male,Philadelphia,Gold,151.0,9639.14,Electronics,2023-12-23 09:39:46.585300,Doctor,25,0
342,62.0,Other,Phoenix,Gold,43.0,1825.95,Clothing,2023-06-04 09:39:46.585300,Artist,77,0
343,,Other,Philadelphia,Platinum,147.0,4587.71,Clothing,2023-06-08 09:39:46.585300,Doctor,53,0
344,48.0,Male,New York,Platinum,135.0,1173.52,,2023-01-22 09:39:46.585300,,45,0
345,65.0,Male,Los Angeles,Gold,28.0,,Home Goods,2023-05-19 09:39:46.585300,Doctor,67,0
346,58.0,Male,Phoenix,Gold,81.0,9755.48,Electronics,2023-09-28 09:39:46.585300,Engineer,45,1
347,20.0,Male,New York,Gold,13.0,963.7,Electronics,2023-09-22 09:39:46.585300,Teacher,77,1
348,45.0,Female,Phoenix,Bronze,158.0,6493.12,Home Goods,2023-06-11 09:39:46.585300,Doctor,39,0
349,36.0,Male,Houston,Gold,48.0,2586.58,Home Goods,2023-05-16 09:39:46.585300,Manager,90,0
350,44.0,Female,Chicago,Bronze,39.0,5583.37,Electronics,2023-03-08 09:39:46.585300,Teacher,36,1
